latitude,longitude
4.715176733333333203e+01,-1.399666041666666638e+00
4.715154199999999918e+01,-1.398862395833333272e+00
4.715131666666666632e+01,-1.398058749999999906e+00
4.715120399999999989e+01,-1.397255104166666539e+00
4.715064066666666776e+01,-1.397255104166666539e+00
4.715007733333332851e+01,-1.397576562499999842e+00
4.714962666666666280e+01,-1.398058749999999906e+00
4.714917599999999709e+01,-1.398540937499999970e+00
4.714872533333333138e+01,-1.399183854166666574e+00
4.714827466666666567e+01,-1.399666041666666638e+00
4.714771133333333353e+01,-1.399666041666666638e+00
4.714714800000000139e+01,-1.399666041666666638e+00
4.714669733333332857e+01,-1.399183854166666574e+00
4.714613399999999643e+01,-1.399183854166666574e+00
4.714568333333333072e+01,-1.399666041666666638e+00
4.714534533333333144e+01,-1.399023124999999812e+00
4.714489466666666573e+01,-1.398540937499999970e+00
4.714455666666666644e+01,-1.397898020833333366e+00
4.714444400000000002e+01,-1.396933645833333237e+00
4.714478199999999930e+01,-1.396129999999999871e+00
4.714545799999999787e+01,-1.395969270833333331e+00
4.714602133333333001e+01,-1.395487083333333267e+00
4.714635933333332929e+01,-1.394844166666666663e+00
4.714647199999999572e+01,-1.394040520833333296e+00
4.714647199999999572e+01,-1.393236874999999930e+00
4.714635933333332929e+01,-1.392433229166666564e+00
4.714602133333333001e+01,-1.391790312499999960e+00
4.714568333333333072e+01,-1.391147395833333356e+00
4.714534533333333144e+01,-1.390504479166666529e+00
4.714500733333333216e+01,-1.389861562499999925e+00
4.714489466666666573e+01,-1.389057916666666559e+00
4.714500733333333216e+01,-1.388254270833333193e+00
4.714489466666666573e+01,-1.387450625000000048e+00
4.714478199999999930e+01,-1.386646979166666682e+00
4.714500733333333216e+01,-1.385843333333333316e+00
4.714545799999999787e+01,-1.385200416666666712e+00
4.714579599999999715e+01,-1.384557499999999886e+00
4.714613399999999643e+01,-1.383914583333333281e+00
4.714635933333332929e+01,-1.382950208333333375e+00
4.714658466666666214e+01,-1.381985833333333247e+00
4.714669733333332857e+01,-1.381182187499999880e+00
4.714714800000000139e+01,-1.380539270833333276e+00
4.714759866666666710e+01,-1.379896354166666672e+00
4.714793666666666638e+01,-1.379253437499999846e+00
